url,Error,domain,ads,imgratio,inlinks,wot,pageloadtime,outlinks,misspelled,contact,cookie,brokenlinks,responsive,lastmod,langcount,email,sitemap,help,redirected
"""http://www.pc-chaperone.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.blumentals.net/inetprot/""",Field NA,"""net""",0,0,1,"[89, 41]",0,0,0,1,0,0,0,"""2017-08-11T18:42:06""",1,0,0,1,"""https://www.blumentals.net/inetprot/"""
"""http://www.privacywindows.com/""",Field NA,"""com""",0,1,1,"[63, 6]",0,0,0,0,1,0,0,"""2017-08-11T18:43:10""",1,0,0,0,Field NA
"""http://www.safefamilies.org/download.php""",Field NA,"""org""",0,0,1,"""NA""",0,0,0,1,1,0,0,"""2017-08-11T18:43:12""",1,0,1,1,Field NA
"""http://www.pchomesoft.com/""",Field NA,"""com""",0,1,1,"[50, 4]",0,0,0,0,1,0,0,"""2017-08-11T18:44:02""",1,0,0,0,Field NA
"""http://www.parental-control.org/""",Field NA,"""org""",0,1,1,"[63, 6]",0,0,0,0,1,0,0,"""2017-08-11T18:44:08""",1,0,0,0,"""http://www.parental-control.org/cgi-sys/suspendedpage.cgi"""
"""http://www.sentrypc.com/""",Field NA,"""com""",0,0,1,"[61, 12]",0,0,0,1,1,0,0,"""2017-07-15T06:48:25""",1,0,0,1,"""https://www.sentrypc.com/"""
"""http://www.cleancomputer.net/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.softwaretime.com/""",Field NA,"""com""",0,0,1,"[88, 10]",0,0,0,1,1,0,0,"""2017-08-11T18:45:25""",1,0,0,0,Field NA
"""http://www.pctattletale.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.toplang.com/internetlock.htm""",Field NA,"""com""",0,0,1,"[60, 12]",0,0,0,1,1,0,0,"""2017-08-11T18:49:54""",1,0,0,0,Field NA
"""http://www.omniquad.com/surfwallhome.htm""",Field NA,"""com""",0,1,1,"""NA""",0,0,0,0,1,0,0,"""2017-06-13T23:34:47""",1,0,0,0,Field NA
"""http://www.parentalkey.com/""",Field NA,"""com""",0,0,1,"[5, 13]",0,0,0,1,1,0,0,"""2012-10-19T09:01:36""",1,0,0,1,Field NA
"""http://www.nicekit.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.wieser-software.com/qualtime/""",Field NA,"""com""",0,-1,1,"""NA""",0,0,0,0,1,0,0,"""2017-08-11T18:50:22""",1,0,0,0,Field NA
"""http://www.mediadetective.com/""",Field NA,"""com""",0,0,1,"[64, 7]",0,0,0,1,1,0,0,"""2013-04-16T05:39:55""",1,0,0,0,Field NA
"""http://www.dataapples.com/""",Field NA,"""com""",0,1,1,"[87, 49]",0,0,0,0,0,0,0,"""2017-08-11T18:50:33""",1,0,0,1,"""https://www.facebook.com/SAToolz/"""
"""http://smartblock.stormpages.com/""",Field NA,"""com""",0,0,1,"[38, 24]",0,0,0,1,1,0,0,"""2017-08-11T18:51:03""",1,0,0,0,"""http://www.stormpages.com/"""
"""http://www.timewatcher.de/fam/Home/""",Field NA,"""de""",0,0,1,"[68, 11]",0,0,0,0,1,0,0,"""2006-06-03T11:16:47""",1,0,0,0,Field NA
"""http://www.avsweb.com/mom/index.html""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.hyperdynesoftware.com/""",Field NA,"""com""",0,0,1,"[70, 8]",0,0,0,1,1,0,0,"""2017-05-16T12:04:10""",1,0,1,0,"""https://hyperdynesoftware.com/"""
"""http://www.softdd.com/pc-spy-software/""",Field NA,"""com""",0,-1,1,"[14, 11]",0,0,0,1,1,0,0,"""2017-08-11T18:51:55""",1,0,0,1,Field NA
"""http://www.softsecurity.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.bosseveryware.com/""",Field NA,"""com""",0,-1,1,"[44, 6]",0,0,0,0,1,0,0,"""2017-07-10T12:26:34""",1,0,0,0,Field NA
"""http://www.blinc.ca/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.softactivity.com/""",Field NA,"""com""",0,0,1,"[80, 10]",0,0,0,1,1,0,1,"""2017-08-11T18:52:20""",1,0,0,0,"""https://www.softactivity.com/"""
"""http://www.refog.com/""",Field NA,"""com""",0,0,1,"[71, 32]",0,0,0,0,1,0,0,"""2017-04-25T13:24:51""",16,0,0,0,"""https://www.refog.com/"""
"""http://www.encrypt-html.com/""",Field NA,"""com""",0,0,1,"[88, 13]",0,0,0,0,1,0,0,"""2015-07-25T23:46:10""",1,0,1,0,Field NA
"""http://www.bestcrypto.com/products/skey/index.php""",Field NA,"""com""",0,0,1,"[75, 10]",0,0,0,1,0,0,0,"""2017-08-11T18:54:52""",1,0,0,1,"""http://www.kryptel.com/products/silverkey.php"""
"""http://www.creabit.com/htmlprotect/""",Field NA,"""com""",0,0,1,"[64, 7]",0,0,0,0,1,0,0,"""2017-08-11T18:55:28""",1,0,0,0,Field NA
"""http://www.neobytesolutions.com/invsecr/index.htm""",Field NA,"""com""",0,0,1,"[84, 12]",0,0,0,0,0,0,0,"""2017-08-11T18:57:29""",1,1,0,0,"""http://www.invisiblesecrets.com/"""
